uri:/instrument/1.0/EBAY/chartdata;type=quote;range=10y/csv
ticker:ebay
Company-Name:eBay Inc.
Exchange-Name:NMS
unit:WEEK
timestamp:
first-trade:19980924
last-trade:20170417
currency:USD
previous_close_price:14.1077
Date:20070423,20170417
labels:20070423,20080107,20090105,20100104,20110103,20120103,20130107,20140106,20150105,20160104,20170103
values:Date,close,high,low,open,volume
close:4.3897,34.4400
high:4.6254,34.7400
low:4.1709,34.0900
open:4.3224,34.3500
volume:4246775,88776528
20070423,14.3813,14.5539,13.9394,14.0488,32767118
20070430,14.3729,14.8948,13.8805,14.4949,34422300
20070507,14.3939,14.7601,14.2214,14.3771,25605280
20070514,13.7626,14.6212,13.7163,14.5623,33508640
20070521,13.7416,14.1414,13.6953,13.7626,28224882
20070529,13.5816,14.0699,13.4975,13.5311,31678700
20070604,13.2239,13.7247,12.7988,13.5185,37645440
20070611,13.4848,13.5480,12.9756,13.2365,34478960
20070618,13.3670,13.6490,13.0093,13.5227,38949760
20070625,13.5438,13.6153,13.2071,13.4007,27545840
20070702,14.0530,14.2803,13.4133,13.5816,22480550
20070709,14.2887,14.4192,13.7374,14.0699,34345140
20070716,14.1120,14.5623,13.7837,14.2382,56150364
20070723,13.7079,14.2635,13.6574,14.0657,51781220
20070730,14.0236,14.2593,13.4806,13.6785,35752540
20070806,15.1515,15.7576,14.1498,14.1582,57659100
20070813,14.3687,15.2357,14.0741,15.2357,40205100
20070820,14.3434,14.6212,14.1288,14.3939,27920440
20070827,14.3519,14.4024,13.7921,14.1582,26707518
20070904,14.8359,15.1094,14.3098,14.3308,32488076
20070910,15.9133,16.1153,14.4655,14.8190,35273100
20070917,16.4141,16.5825,15.5093,15.7828,31621818
20070924,16.4226,16.6414,16.1322,16.2500,24349040
20071001,16.3089,16.7971,16.1322,16.4184,22823280
20071008,16.7929,17.1423,15.8838,16.2963,26633082
20071015,15.4545,17.1212,15.3030,16.7508,68301736
20071022,15.4209,15.5093,14.7306,15.2525,40734760
20071029,14.7391,15.5598,14.1077,15.5177,42729600
20071105,14.0825,14.6044,13.4091,14.5118,53356536
20071112,13.7795,14.3350,13.3880,14.1540,39165920
20071119,13.4428,13.9436,13.0934,13.7795,30594100
20071126,14.1120,14.5833,13.0219,13.5774,38623640
20071203,14.1961,14.3434,13.7626,13.9815,26323418
20071210,13.7626,14.7811,13.7121,14.0783,32285140
20071217,14.4360,14.6170,13.2618,13.6869,32421600
20071224,14.2172,14.5918,14.0825,14.4318,13043000
20071231,13.1734,14.1414,13.1061,14.0993,23234200
20080107,12.4916,13.2660,12.2096,13.2239,39206040
20080114,11.9234,12.7020,11.5488,12.6389,51242100
20080122,11.2921,12.5800,10.8375,10.9806,82079752
20080128,12.1254,12.2054,10.7912,11.1195,53706264
20080204,11.8140,12.2811,11.5236,12.0665,40040240
20080211,11.6961,11.9655,11.4478,11.7424,31034282
20080219,11.6625,11.8476,11.2079,11.8434,31907924
20080225,11.0943,11.8392,11.0143,11.6582,32670160
20080303,10.8502,11.4184,10.6608,11.0396,33808340
20080310,11.0480,11.4478,10.7618,10.8670,32238660
20080317,12.0370,12.1591,10.5640,10.7786,48080448
20080324,12.7189,13.2029,11.9108,11.9487,35101800
20080331,13.8636,14.0867,12.3948,12.5715,39515020
20080407,12.9924,14.0572,12.9167,13.9268,25241520
20080414,13.3460,13.7500,12.7315,13.0682,42535800
20080421,13.1734,13.3502,12.7189,13.1061,30878518
20080428,13.0934,13.4680,12.8998,13.1608,30542260
20080505,12.6263,13.1944,12.3274,13.0093,23876920
20080512,13.1187,13.5101,12.7062,12.7315,32754640
20080519,12.7020,13.2029,12.5337,13.1313,26385618
20080527,12.6305,13.0345,12.2475,12.7146,30791550
20080602,12.3148,12.7567,12.1549,12.6221,30961140
20080609,11.9444,12.4579,11.6330,12.2938,36823660
20080616,11.8561,12.3443,11.8140,12.0160,35442440
20080623,11.6204,12.0370,11.4268,11.9571,33535860
20080630,11.2795,11.7803,11.2584,11.5446,28489600
20080707,11.7887,12.2601,11.0396,11.3173,36136660
20080714,10.0926,11.9529,9.8990,11.9108,73757560
20080721,10.6902,10.9975,10.0042,10.1094,40244300
20080728,10.3451,10.9764,10.0421,10.6818,35628340
20080804,11.0943,11.1616,10.2273,10.3072,31819860
20080811,10.9343,11.3678,10.7407,10.9764,29413918
20080818,10.5345,10.9806,10.1894,10.8460,26908800
20080825,10.4924,10.7281,10.2778,10.4672,18331480
20080902,10.0042,10.6566,9.7811,10.6061,40781248
20080908,9.4907,10.2357,9.3266,10.1978,39552180
20080915,9.7517,10.0168,9.1330,9.1919,49594620
20080922,9.4992,9.7517,8.8973,9.7475,34215540
20080929,7.9714,9.5370,7.9672,9.3771,50063920
20081006,7.0412,7.7862,6.3131,7.7862,73839664
20081013,6.4604,7.8914,5.7618,7.4327,77802384
20081020,6.2668,6.6288,5.9638,6.4646,47636540
20081027,6.4268,6.7719,6.0606,6.1827,39396120
20081103,5.9722,6.6414,5.8460,6.2837,32255140
20081110,5.2020,6.1574,4.7938,6.1490,49135120
20081117,5.0547,5.3409,4.5918,5.1852,57827420
20081124,5.5261,5.6944,5.0337,5.1347,41798376
20081201,5.8754,5.8838,5.1389,5.4588,48156760
20081208,6.0059,6.1616,5.5682,5.9133,40210900
20081215,6.0816,6.5152,5.7912,5.9806,41114100
20081222,5.7239,6.1322,5.6103,6.0943,19560076
20081229,6.1700,6.1953,5.5177,5.7492,21514276
20090105,5.9722,6.5152,5.9217,6.1574,24996220
20090112,5.5808,6.0606,5.3788,6.0354,40722560
20090120,5.0505,5.6145,4.7685,5.5598,57008000
20090126,5.0589,5.4503,4.8864,5.0505,29463318
20090202,5.7365,5.7618,5.0210,5.0379,31843218
20090209,5.5513,5.8838,5.4293,5.6987,34348200
20090217,5.1263,5.3704,5.0295,5.3535,27640500
20090223,4.5749,5.1810,4.4192,5.1557,43837660
20090302,4.3897,4.6254,4.1709,4.4739,54059500
20090309,5.0210,5.1557,4.3013,4.3224,41347020
20090316,5.0884,5.2609,4.8569,5.0505,30889782
20090323,5.4082,5.5513,5.1557,5.2441,29191100
20090330,6.0227,6.1574,5.1431,5.3030,46003640
20090406,6.3215,6.3300,5.6566,5.9133,31436250
20090413,6.0564,6.1953,5.8081,6.1574,39908200
20090420,7.0623,7.1296,5.7534,6.0101,74112336
20090427,6.9487,7.1801,6.7635,6.8224,44290320
20090504,7.3148,7.4158,6.9024,6.9571,43000020
20090511,7.1170,7.3611,6.7803,7.1759,32721160
20090518,7.3064,7.7231,7.0960,7.1591,32676618
20090526,7.4158,7.4621,6.9487,7.2138,38179800
20090601,7.5084,7.7399,7.3906,7.5210,48953300
20090608,7.4916,7.6389,7.2938,7.5126,40844360
20090615,7.2727,7.4663,7.1044,7.4242,35464020
20090622,7.3022,7.3653,6.7677,7.1928,40903680
20090629,6.8771,7.4453,6.8266,7.3359,64452648
20090706,6.8603,6.9823,6.6372,6.8729,41977600
20090713,7.8072,7.9335,6.7761,6.8603,53221220
20090720,8.9394,9.0783,7.7357,7.8283,68330416
20090727,8.9436,9.2845,8.9394,8.9899,41228880
20090803,9.4907,9.7391,8.9141,9.3434,53080920
20090810,9.1077,9.5370,9.0488,9.5370,35261780
20090817,9.2929,9.3013,8.6490,8.8847,34194580
20090824,9.4529,9.6549,9.1625,9.2887,30308200
20090831,9.2214,9.7559,8.9057,9.3476,44641140
20090908,9.9158,10.0379,9.0993,9.2635,43881848
20090914,10.2441,10.4125,9.8316,9.8443,47778400
20090921,9.8695,10.3409,9.7685,10.2441,32662840
20090928,9.5539,10.1052,9.4865,9.9158,36329700
20091005,10.2778,10.5808,9.5076,9.5875,45346820
20091012,10.3072,10.7239,10.2399,10.3788,38092260
20091019,9.9158,10.8586,9.7938,10.4082,71700896
20091026,9.3729,10.0210,9.3140,9.8695,40403380
20091102,9.8232,9.8906,9.0530,9.2845,32931860
20091109,9.9916,10.1347,9.7391,9.8401,31656318
20091116,9.5918,10.1515,9.5749,10.0253,30976082
20091123,9.7727,9.9958,9.5960,9.6717,21534000
20091130,9.9621,10.4167,9.7643,9.7685,46359100
20091207,9.5539,10.0884,9.2845,9.9074,36434400
20091214,9.5412,9.6801,9.3687,9.5623,31890582
20091221,10.0547,10.2020,9.5455,9.5960,27246450
20091228,9.9032,10.1010,9.8948,10.0463,14369925
20100104,9.8948,10.0926,9.7222,9.9832,26253460
20100111,9.4571,9.9958,9.3098,9.9032,34974800
20100119,9.9242,10.3367,9.3350,9.3771,88776528
20100125,9.6886,10.2525,9.6254,9.9790,49924740
20100201,9.5581,9.8401,9.3603,9.6423,34488740
20100208,9.1625,9.6591,9.0530,9.5665,31832040
20100216,9.8569,9.8864,9.2551,9.2551,32691524
20100222,9.6886,9.8906,9.4992,9.8569,31745960
20100301,10.3662,10.5008,9.6633,9.7306,39867800
20100308,10.9301,10.9428,10.2694,10.2820,40090200
20100315,11.4436,11.6919,10.8544,10.9301,41116020
20100322,11.5530,11.9402,11.2037,11.2542,37933940
20100329,11.1827,11.5825,11.1742,11.5741,26604324
20100405,11.1742,11.6456,11.0101,11.1532,35852460
20100412,11.0816,11.4520,11.0354,11.2121,32707760
20100419,10.3325,11.1869,10.0589,11.0269,63681700
20100426,10.0084,10.4335,9.9579,10.2820,46031460
20100503,9.0404,10.1431,8.6532,9.9537,63827800
20100510,9.3645,9.8106,9.2466,9.5244,38891740
20100517,9.0152,9.5833,8.5480,9.3266,60022600
20100524,9.0109,9.2761,8.6532,8.9773,43742140
20100601,9.2551,9.6128,8.7121,8.8468,62051724
20100607,9.5328,9.5497,8.8089,9.2593,53737564
20100614,9.3266,9.6465,9.2214,9.5960,34969020
20100621,8.8173,9.5244,8.6448,9.4444,32465182
20100628,8.1061,8.8258,8.0219,8.7837,53239400
20100706,8.5396,8.5480,8.0640,8.2660,38083024
20100712,8.4554,9.0320,8.4428,8.4933,36449740
20100719,8.8763,9.0657,8.3838,8.4891,41343580
20100726,8.8005,8.9689,8.6406,8.8342,22785920
20100802,9.0278,9.0825,8.7121,8.9562,26056980
20100809,9.0488,9.5244,8.9268,9.2003,35233480
20100816,9.8359,9.8695,9.0067,9.0320,51515840
20100823,9.7559,9.9369,9.4150,9.8611,41091340
20100830,10.1557,10.3030,9.5707,9.7643,39719540
20100907,10.1431,10.3662,9.8695,10.0968,37178000
20100913,10.1936,10.2988,9.9537,10.1010,31137382
20100920,10.4125,10.4756,9.8401,10.2146,34375100
20100927,10.2946,10.5892,10.1810,10.3998,26719540
20101004,10.3577,10.4672,10.0715,10.2904,23713800
20101011,10.8081,10.9007,10.1347,10.3283,27751640
20101018,11.8140,11.9697,10.5766,10.8796,53099336
20101025,12.5673,12.5842,11.5993,11.6498,48581220
20101101,12.9924,13.0177,12.2980,12.3990,37846300
20101108,12.6852,13.1524,12.6599,12.9588,32865760
20101115,12.7525,12.9840,12.3822,12.6978,31636000
20101122,13.1103,13.2492,12.4790,12.6557,26403176
20101129,12.4621,13.3165,12.1170,12.9714,40621200
20101206,12.9167,12.9672,12.3779,12.4074,25109280
20101213,12.5505,12.9714,12.5337,12.9335,29719540
20101220,11.9192,12.5800,11.8645,12.5631,27077450
20101227,11.7130,11.9949,11.6540,11.8603,13826441
20110103,11.6582,12.3443,11.4562,11.8729,27134518
20110110,12.2811,12.2896,11.5657,11.6330,23002340
20110118,12.6347,13.0387,12.1507,12.3022,46436076
20110124,12.7567,13.1313,12.6052,12.6221,29426340
20110131,13.5564,13.6448,12.4958,12.7399,28742940
20110207,14.5244,14.6380,13.3586,13.5269,35701820
20110214,14.5328,14.8779,14.1625,14.5160,22830860
20110222,14.1540,14.5286,13.6785,14.3645,24182400
20110228,13.4722,14.3056,13.3838,14.1835,23452120
20110307,13.0135,13.6658,12.8956,13.5227,25662560
20110314,12.8241,13.0724,12.4621,12.9377,27213740
